measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,15,Myanmar,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2019,40583.20299287842,46986.38342735352,35581.085603409236
1,Deaths,15,Myanmar,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2019,0.09655002600259481,0.10577479945264158,0.08888539380029414
1,Deaths,15,Myanmar,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2019,74.22367091676179,85.93461343336219,65.0751688858076
1,Deaths,22,Fiji,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2019,1574.6412829372493,1939.12463908651,1255.8144887409212
1,Deaths,22,Fiji,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2019,0.21228899874242765,0.22454298976086262,0.19966027163299224
1,Deaths,22,Fiji,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2019,172.80043335623242,212.79867459136682,137.81252290342374
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2019,325873.54882654763,371595.62383071537,284911.36526436557
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2019,0.4665416668847652,0.4840956451594759,0.43770908086950466
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2019,739.9081839725411,843.7218798236164,646.9020011750035
1,Deaths,34,Azerbaijan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2019,27208.68389161077,31097.18186970124,23829.08938591154
1,Deaths,34,Azerbaijan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2019,0.3622701126478593,0.3856302524402967,0.33039154867922366
1,Deaths,34,Azerbaijan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2019,264.7100589537962,302.54079465282854,231.83038478773315
1,Deaths,18,Thailand,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2019,51595.46627678936,65636.2753201684,39018.989980385755
1,Deaths,18,Thailand,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2019,0.10370027489149099,0.11612718023479349,0.09073449081595492
1,Deaths,18,Thailand,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2019,73.59049915120197,93.61687395797031,55.652698894671346
1,Deaths,110,Dominica,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2019,81.1694225655658,96.1565715046534,68.55507617882323
1,Deaths,110,Dominica,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2019,0.11052474907948018,0.12037722487131215,0.10014742325025447
1,Deaths,110,Dominica,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2019,118.18245848829268,140.00370658108116,99.8160044580952
1,Deaths,28,Solomon Islands,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2019,1242.689415690707,1503.6435925608018,992.6545576216944
1,Deaths,28,Solomon Islands,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2019,0.19964715984960474,0.21950380473172806,0.18216406611664993
1,Deaths,28,Solomon Islands,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2019,189.54070815871083,229.34264004644643,151.40424102189039
1,Deaths,298,American Samoa,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2019,64.4768968795845,74.37255321840668,55.430592975189306
1,Deaths,298,American Samoa,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2019,0.16840233015313275,0.1790604454353429,0.15665754141986377
1,Deaths,298,American Samoa,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2019,116.16423709187845,133.99265974797368,99.8660428174565
1,Deaths,40,Turkmenistan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2019,11305.28534459936,13757.027380376921,9342.939411534382
1,Deaths,40,Turkmenistan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2019,0.33632500034300855,0.3516599303937585,0.3151954514505332
1,Deaths,40,Turkmenistan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2019,222.4101288502428,270.6435210613763,183.80468029071318
1,Deaths,207,Ghana,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2019,15888.27708563023,18985.475937939307,13341.18437954668
1,Deaths,207,Ghana,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2019,0.07638978138462053,0.08711369824475194,0.0659914507241148
1,Deaths,207,Ghana,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2019,50.38102558630827,60.202106486589976,42.30430700289708
1,Deaths,116,Saint Lucia,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2019,133.74086501553063,153.77082106643937,115.59884552719456
1,Deaths,116,Saint Lucia,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2019,0.09515873001843507,0.10142168570650363,0.08699039843432783
1,Deaths,116,Saint Lucia,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2019,76.58714273376282,88.05736242199211,66.19805607823278
1,Deaths,54,Slovakia,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2019,17777.39077124891,21446.436967071848,14344.099498191357
