measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1992,243182.77547179096,249136.82170065294,232331.1333513186
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1992,0.3533527324476709,0.36186038134565546,0.33779373822197956
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1992,463.86141890203976,475.2185239707276,443.1623455336493
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1990,216869.6538474724,223115.94812467092,206522.9217251172
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1990,0.3498239941519811,0.35957997318045176,0.33337623684152046
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1990,411.80458470416806,423.6654078997033,392.1576140510566
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1993,260113.1355020653,266090.799149498,248943.34791204194
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1993,0.36079182116519587,0.369101210027635,0.34520442531047596
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1993,498.35833418900137,509.8111141184986,476.95781273565524
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1991,229616.41646326229,235718.16480624973,218909.10836175457
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1991,0.3506461818012742,0.35987821762346145,0.33499433897078246
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1991,436.670134854755,448.27405809692726,416.30764621115827
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1995,290900.42762918794,297933.8865482426,279467.2540624386
1,Deaths,63,Ukraine,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1995,0.36872553638352273,0.37761006483374104,0.3541348974612515
